Page ID,Page Title,Template Name,Date of Birth,Height,Team
431268,임유환,축구 선수 정보,1983-12-02,182,부산 아이파크
354808,오장은,축구 선수 정보,1985-07-24,176,대전 시티즌
435376,안세우무 벤드레초프스키 주니오르,축구 선수 정보,1982-11-16,181,티그레스 데 라 UANL
61860,푸슈카시 페렌츠,축구 선수 정보,1927-04-02,172,없음
175254,지브릴 시세,축구 선수 정보,1981-08-12,183,이베르돈 스포츠 FC
130040,막심 칼리니첸코,축구 선수 정보,1979-01-26,176,타브리야 심페로폴
364562,이승현 (1985년 7월),축구 선수 정보,1985-07-25,176,수원 FC
173263,카를로스 발데라마,축구 선수 정보,1961-09-02,179,없음
189698,토마시 우이팔루시,축구 선수 정보,1978-03-24,185,없음
372277,카를로 안첼로티,축구 선수 정보,1959-06-10,180,없음
